"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"31","DEP","BOY092",0.000151,0.0463631606488749,0.143665819335426,0.642158250494414,91,0.0380168461538462,0.00583,0.2753,1.39897031284957
"32","DEP","BOY093",0.0018675,0.137274220032841,0.711782658665894,0.128122475442036,87,0.0962576666666667,0.00583,0.7741,1.66667115648866
"33","DEP","BOY094",0,-0.00262725779967159,0.722158302351977,0.967142330906372,87,0.0300578390804598,0.00583,0.247,1.33517114294637
"34","DEP","BOY095",-0.00027125,-0.10935960591133,0.825611656281858,0.265239297990466,87,0.0183546781609195,0.00583,0.14,0.920794261194693
"35","DEP","BOY096",0,-0.00153256704980843,0.963955406880313,0.967216376437836,87,0.0197764712643678,0.00583,0.124,1.06810637825798
"36","DEP","BOY097",-0.0005975,-0.172413793103448,0.821428264387071,0.0633365337579704,87,0.0174871149425287,0.00583,0.149,0.963618834144786
"37","DEP","BOY098",0,0.00864805692391899,0.858258583968857,0.836910627824266,87,0.0188530689655172,0.00583,0.128,0.936181366765178
"38","DEP","BOY099",-0.00037,-0.16048166392994,0.669000129667757,0.0958685155440374,87,0.0186233908045977,0.00583,0.13,0.916891249892017
"39","DEP","BOY100",-0.0001545,-0.096551724137931,0.916167341781675,0.321612826953183,87,0.0192487126436782,0.00583,0.139,1.08529157785033
"40","DEP","BOY101",0,0.0154351395730706,0.226904730572323,0.837182487011586,87,0.0510179310344828,0.00583,0.4257,1.5593924565838
"41","DEP","BOYPB4",NA,NA,NA,NA,1,0.008693,0.008693,0.008693,NA
"42","DEP","GOC001",0.000931333333333333,0.0546296296296296,0.370473246330602,0.665465399728917,72,0.0560591388888889,0.00583,0.2238,0.767104162691684
"43","DEP","GOC002",-0.00086,-0.0352112676056338,0.892712942048105,0.782271720902508,71,0.0800101408450704,0.007,0.3724,0.830567130702974
"44","DEP","GOC003",3.00000000000022e-05,0.00563380281690141,0.830713301890984,1,71,0.0736669014084507,0.007,0.3704,0.828239886652106
"45","DEP","GOC004",0.0010125,0.0563380281690141,0.0248782707339912,0.658849743556954,71,0.0361148732394366,0.00583,0.111,0.677703665060151
"46","DEP","GOC005",0.0004425,0.0464788732394366,0.377038182976541,0.698827475139914,71,0.0323109577464789,0.00583,0.152,0.966771516306831
"47","DEP","GOC006",0.001755,0.166197183098592,0.606195459038175,0.107877616056084,71,0.0318528028169014,0.006223,0.1606,1.03292924645509
"48","DEP","GOC007",0.001,0.0352112676056338,0.486192130654592,0.782271720902508,71,0.0309665070422535,0.00583,0.138,0.891060986980714
"49","DEP","GOC008",0.000262666666666667,0.023943661971831,0.110686476682959,0.867901361330044,71,0.0331891971830986,0.00583,0.1462,0.887423417837232
"50","DEP","GOC009",0.0014225,0.247887323943662,0.577350471715281,0.0134628023066345,71,0.0220521126760563,0.00583,0.179,1.30953860744567
"51","DEP","GOC010",0.001,0.16056338028169,0.469254193828735,0.103898770162824,71,0.0186562394366197,0.00583,0.1763,1.29231159539602
