"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"97",114735,"MiamiBeach","12","2020-03-12","Ammonia",0.05,"mg/L",NA,NA,NA
"98",114736,"MiamiBeach","13","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"99",114737,"MiamiBeach","14","2020-03-12","Ammonia",0.05,"mg/L",NA,NA,NA
"100",114738,"MiamiBeach","15","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"101",114739,"MiamiBeach","16","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"102",114740,"MiamiBeach","17","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"103",114741,"MiamiBeach","18","2020-03-12","Ammonia",0.067,"mg/L",NA,NA,NA
"104",114742,"MiamiBeach","19","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"105",114743,"MiamiBeach","20","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"106",114744,"MiamiBeach","21","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"107",114745,"MiamiBeach","22","2020-03-12","Ammonia",0.048,"mg/L",NA,NA,NA
"108",114746,"MiamiBeach","23","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"109",114914,"MiamiBeach","25","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"110",114915,"MiamiBeach","24","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"111",114916,"MiamiBeach","26","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"112",114917,"MiamiBeach","27","2020-03-14","Ammonia",0.06,"mg/L",NA,NA,NA
"113",114918,"MiamiBeach","28","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"114",114919,"MiamiBeach","32","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"115",114920,"MiamiBeach","33","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"116",114921,"MiamiBeach","29","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"117",114922,"MiamiBeach","30","2020-03-14","Ammonia",0.039,"mg/L",NA,NA,NA
"118",114923,"MiamiBeach","31","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"119",114924,"MiamiBeach","34","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"120",114925,"MiamiBeach","41","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"121",114926,"MiamiBeach","40","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"122",114927,"MiamiBeach","39","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"123",114928,"MiamiBeach","38","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"124",114929,"MiamiBeach","37","2020-03-14","Ammonia",NA,"mg/L",NA,NA,NA
"125",114930,"MiamiBeach","36","2020-03-14","Ammonia",0.052,"mg/L",NA,NA,NA
