"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"109",1190,"SFER","1","2015-04-13","Salinity",36.718,NA,25.6398,-80.122,NA
"110",1201,"SFER","2","2015-04-13","Salinity",36.388,NA,25.6434,-80.0997,NA
"111",1212,"SFER","3","2015-04-13","Salinity",36.36,NA,25.6453,-80.0853,NA
"112",1223,"SFER","3","2015-04-13","Salinity",36.33,NA,25.6453,-80.0853,NA
"113",1234,"SFER","3","2015-04-13","Salinity",36.306,NA,25.6453,-80.0853,NA
"114",1245,"SFER","EKIN","2015-04-13","Salinity",37.29,NA,25.3335,-80.2242,NA
"115",1256,"SFER","EKMID","2015-04-13","Salinity",36.58,NA,25.3129,-80.1943,NA
"116",1267,"SFER","4","2015-04-13","Salinity",37.315,NA,25.1096,-80.3783,NA
"117",1278,"SFER","5","2015-04-13","Salinity",36.712,NA,25.0957,-80.3599,NA
"118",1289,"SFER","5.5","2015-04-13","Salinity",36.506,NA,25.0796,-80.3338,NA
"119",1300,"SFER","6","2015-04-13","Salinity",36.377,NA,25.0656,-80.3146,NA
"120",1311,"SFER","6.5","2015-04-13","Salinity",36.357,NA,25.0481,-80.2862,NA
"121",1322,"SFER","MR","2015-04-13","Salinity",36.35,NA,25.005,-80.3789,NA
"122",1333,"SFER","MR","2015-04-13","Salinity",36.34,NA,25.005,-80.3789,NA
"123",1344,"SFER","UKOFF","2015-04-13","Salinity",36.421,NA,24.8982,-80.5303,NA
"124",1355,"SFER","UKMID","2015-04-13","Salinity",36.383,NA,24.9206,-80.5473,NA
"125",1366,"SFER","UKIN","2015-04-13","Salinity",36.967,NA,24.94,-80.5703,NA
"126",1377,"SFER","7","2015-04-13","Salinity",36.629,NA,24.8206,-80.7538,NA
"127",1388,"SFER","30","2015-04-14","Salinity",35.82,NA,25.4042,-82.2117,NA
"128",1399,"SFER","30","2015-04-14","Salinity",36.047,NA,25.4042,-82.2117,NA
"129",1410,"SFER","30.5","2015-04-14","Salinity",35.794,NA,25.5778,-82.0784,NA
"130",1421,"SFER","12","2015-04-14","Salinity",36.424,NA,24.7115,-80.8301,NA
"131",1432,"SFER","12","2015-04-14","Salinity",36.331,NA,24.7115,-80.8301,NA
"132",1443,"SFER","13","2015-04-14","Salinity",37.028,NA,24.7016,-81.0304,NA
"133",1454,"SFER","14","2015-04-14","Salinity",36.376,NA,24.6753,-81.0235,NA
"134",1465,"SFER","15","2015-04-14","Salinity",36.411,NA,24.6436,-81.016,NA
"135",1476,"SFER","15.5","2015-04-14","Salinity",36.373,NA,24.5918,-80.9919,NA
"136",1487,"SFER","16","2015-04-14","Salinity",37.001,NA,24.6763,-81.2064,NA
"137",1498,"SFER","17","2015-04-14","Salinity",36.483,NA,24.6386,-81.1943,NA
"138",1509,"SFER","18","2015-04-14","Salinity",36.41,NA,24.6005,-81.185,NA
"139",1520,"SFER","18","2015-04-14","Salinity",36.388,NA,24.6005,-81.185,NA
"140",1531,"SFER","19","2015-04-14","Salinity",36.602,NA,24.5928,-81.421,NA
"141",1542,"SFER","20","2015-04-14","Salinity",36.592,NA,24.5731,-81.4187,NA
"142",1553,"SFER","21LK","2015-04-14","Salinity",36.432,NA,24.5372,-81.4183,NA
"143",1564,"SFER","21LK","2015-04-14","Salinity",36.383,NA,24.5372,-81.4183,NA
"144",1575,"SFER","21.5","2015-04-14","Salinity",36.402,NA,24.4832,-81.3903,NA
"145",1586,"SFER","WS","2015-04-14","Salinity",36.411,NA,24.4759,-81.7167,NA
"146",1597,"SFER","WS","2015-04-14","Salinity",36.376,NA,24.4759,-81.7167,NA
"147",1608,"SFER","22.5","2015-04-14","Salinity",36.48,NA,24.3966,-81.8301,NA
"148",1619,"SFER","22","2015-04-14","Salinity",36.736,NA,24.4551,-81.8284,NA
"149",1630,"SFER","23","2015-04-14","Salinity",36.465,NA,24.4887,-81.8286,NA
"150",1641,"SFER","24","2015-04-14","Salinity",36.982,NA,24.5325,-81.8119,NA
"151",1652,"SFER","60","2015-04-15","Salinity",36.393,NA,25.1665,-81.3334,NA
"152",1663,"SFER","61","2015-04-15","Salinity",36.333,NA,25.1665,-81.2738,NA
"153",1674,"SFER","62","2015-04-15","Salinity",36.46,NA,25.1671,-81.2323,NA
"154",1685,"SFER","63","2015-04-15","Salinity",36.764,NA,25.1653,-81.1982,NA
"155",1696,"SFER","64","2015-04-15","Salinity",37.568,NA,25.1649,-81.1566,NA
"156",1707,"SFER","65","2015-04-15","Salinity",37.384,NA,25.1012,-81.093,NA
"157",1718,"SFER","31","2015-04-15","Salinity",35.644,NA,25.744,-81.9451,NA
"158",1729,"SFER","32","2015-04-15","Salinity",35.074,NA,25.8734,-81.8331,NA
"159",1740,"SFER","33","2015-04-15","Salinity",35.155,NA,25.9138,-81.8003,NA
"160",1751,"SFER","34","2015-04-15","Salinity",34.972,NA,25.9497,-81.7669,NA
"161",1762,"SFER","42","2015-04-15","Salinity",33.343,NA,25.656,-81.7207,NA
"162",1773,"SFER","41","2015-04-15","Salinity",35.84,NA,25.7342,-81.577,NA
"163",1784,"SFER","40","2015-04-15","Salinity",36.39,NA,25.7581,-81.5228,NA
"164",1795,"SFER","45","2015-04-15","Salinity",35.535,NA,25.583,-81.471,NA
"165",1806,"SFER","46","2015-04-15","Salinity",35.716,NA,25.5837,-81.4049,NA
"166",1817,"SFER","47","2015-04-15","Salinity",35.977,NA,25.5838,-81.3678,NA
"167",1828,"SFER","48","2015-04-15","Salinity",36.429,NA,25.5834,-81.3284,NA
"168",1839,"SFER","50","2015-04-15","Salinity",36.019,NA,25.4514,-81.3505,NA
"169",1850,"SFER","51","2015-04-15","Salinity",36.11,NA,25.4534,-81.3059,NA
"170",1861,"SFER","52","2015-04-15","Salinity",36.455,NA,25.4533,-81.2564,NA
"171",1872,"SFER","53","2015-04-15","Salinity",36.463,NA,25.4536,-81.2246,NA
"172",1883,"SFER","54","2015-04-15","Salinity",35.585,NA,25.3416,-81.1544,NA
"173",1894,"SFER","55","2015-04-15","Salinity",35.89,NA,25.3501,-81.1934,NA
"174",1905,"SFER","56","2015-04-15","Salinity",35.759,NA,25.351,-81.2283,NA
"175",1916,"SFER","57","2015-04-15","Salinity",35.821,NA,25.3513,-81.2664,NA
"176",1927,"SFER","57.1","2015-04-15","Salinity",36.07,NA,25.3519,-81.3374,NA
"177",1938,"SFER","57.2","2015-04-15","Salinity",35.926,NA,25.3516,-81.4918,NA
"178",1949,"SFER","57.3","2015-04-15","Salinity",35.97,NA,25.3513,-81.6534,NA
"179",1960,"SFER","58","2015-04-15","Salinity",35.92,NA,25.1673,-81.6558,NA
"180",1971,"SFER","58","2015-04-15","Salinity",35.922,NA,25.1673,-81.6558,NA
"181",1982,"SFER","59","2015-04-15","Salinity",35.944,NA,25.1684,-81.4946,NA
"182",1993,"SFER","66","2015-04-16","Salinity",37.13,NA,25.0662,-81.1076,NA
"183",2004,"SFER","67","2015-04-16","Salinity",37.006,NA,25.0294,-81.1274,NA
"184",2015,"SFER","68","2015-04-16","Salinity",36.648,NA,24.9293,-81.1683,NA
"185",2026,"SFER","69","2015-04-16","Salinity",37.058,NA,24.9299,-81.094,NA
"186",2037,"SFER","70","2015-04-16","Salinity",36.958,NA,24.9304,-81.0225,NA
"187",2048,"SFER","57.3","2015-04-16","Salinity",35.808,NA,25.3491,-81.6517,NA
"188",2059,"SFER","57.3","2015-04-16","Salinity",35.808,NA,25.3491,-81.6517,NA
"189",2070,"SFER","57.2","2015-04-16","Salinity",36.951,NA,25.3515,-81.4885,NA
"190",2081,"SFER","57.1","2015-04-16","Salinity",35.946,NA,25.3517,-81.3361,NA
"191",2092,"SFER","57","2015-04-16","Salinity",35.53,NA,25.3523,-81.2634,NA
"192",2103,"SFER","56","2015-04-16","Salinity",35.556,NA,25.3508,-81.2254,NA
"193",2114,"SFER","55","2015-04-16","Salinity",35.54,NA,25.3506,-81.1902,NA
"194",2125,"SFER","54","2015-04-16","Salinity",35.516,NA,25.3449,-81.1518,NA
"195",2136,"SFER","EKOFF","2015-04-17","Salinity",36.368,NA,25.2941,-80.1633,NA
"196",2147,"SFER","1","2015-06-01","Salinity",36.756,NA,25.6447,-80.1244,NA
"197",2158,"SFER","2","2015-06-01","Salinity",36.501,NA,25.6417,-80.1038,NA
"198",2169,"SFER","3","2015-06-01","Salinity",36.404,NA,25.6437,-80.0803,NA
"199",2180,"SFER","EKIN","2015-06-01","Salinity",37.124,NA,25.3353,-80.2253,NA
"200",2191,"SFER","EKMID","2015-06-01","Salinity",35.542,NA,25.3117,-80.1913,NA
"201",2202,"SFER","EKOFF","2015-06-01","Salinity",36.543,NA,25.2904,-80.1615,NA
"202",2213,"SFER","4","2015-06-01","Salinity",37.41,NA,25.1073,-80.381,NA
"203",2224,"SFER","5","2015-06-01","Salinity",36.423,NA,25.0931,-80.3524,NA
"204",2235,"SFER","5.5","2015-06-01","Salinity",36.44,NA,25.0804,-80.3309,NA
"205",2246,"SFER","6","2015-06-01","Salinity",36.646,NA,25.0645,-80.3127,NA
"206",2257,"SFER","6.5","2015-06-01","Salinity",36.358,NA,25.0481,-80.2871,NA
"207",2268,"SFER","MR","2015-06-01","Salinity",36.38,NA,25.0046,-80.3782,NA
"208",2279,"SFER","MR","2015-06-01","Salinity",36.401,NA,25.0046,-80.3782,NA
"209",2290,"SFER","UKOFF","2015-06-01","Salinity",36.388,NA,24.8981,-80.5311,NA
"210",2301,"SFER","UKMID","2015-06-01","Salinity",36.363,NA,24.9209,-80.5465,NA
"211",2312,"SFER","UKIN","2015-06-01","Salinity",36.533,NA,24.9352,-80.5652,NA
"212",2323,"SFER","7","2015-06-01","Salinity",37.055,NA,24.8159,-80.7549,NA
"213",2334,"SFER","8","2015-06-01","Salinity",36.595,NA,24.7912,-80.7409,NA
"214",2345,"SFER","9","2015-06-02","Salinity",36.366,NA,24.7618,-80.724,NA
"215",2356,"SFER","9","2015-06-02","Salinity",36.409,NA,24.7618,-80.724,NA
"216",2367,"SFER","9.5","2015-06-02","Salinity",35.587,NA,24.717,-80.689,NA
"217",2378,"SFER","9.5","2015-06-02","Salinity",36.476,NA,24.717,-80.689,NA
"218",2389,"SFER","9.5","2015-06-02","Salinity",36.387,NA,24.717,-80.689,NA
"219",2400,"SFER","12","2015-06-02","Salinity",36.378,NA,24.7129,-80.8332,NA
"220",2411,"SFER","12","2015-06-02","Salinity",36.047,NA,24.7129,-80.8332,NA
"221",2422,"SFER","11","2015-06-02","Salinity",36.673,NA,24.7535,-80.8464,NA
"222",2433,"SFER","10","2015-06-02","Salinity",37.069,NA,24.7848,-80.8672,NA
"223",2444,"SFER","13","2015-06-02","Salinity",36.771,NA,24.7014,-81.0299,NA
"224",2455,"SFER","14","2015-06-02","Salinity",36.59,NA,24.675,-81.0232,NA
"225",2466,"SFER","15","2015-06-02","Salinity",36.394,NA,24.6431,-81.0171,NA
"226",2477,"SFER","15.5","2015-06-02","Salinity",36.368,NA,24.592,-80.9913,NA
"227",2488,"SFER","18","2015-06-02","Salinity",36.376,NA,24.5983,-81.1848,NA
"228",2499,"SFER","18","2015-06-02","Salinity",36.391,NA,24.5983,-81.1848,NA
"229",2510,"SFER","17","2015-06-02","Salinity",36.731,NA,24.6403,-81.1951,NA
"230",2521,"SFER","16","2015-06-02","Salinity",37.739,NA,24.6741,-81.206,NA
"231",2532,"SFER","19","2015-06-02","Salinity",36.879,NA,24.6091,-81.4199,NA
"232",2543,"SFER","20","2015-06-02","Salinity",36.731,NA,24.5729,-81.4184,NA
"233",2554,"SFER","21LK","2015-06-02","Salinity",36.375,NA,24.5364,-81.4159,NA
"234",2565,"SFER","21LK","2015-06-02","Salinity",36.402,NA,24.5364,-81.4159,NA
"235",2576,"SFER","21.5","2015-06-02","Salinity",36.381,NA,24.4831,-81.3914,NA
"236",2587,"SFER","WS","2015-06-02","Salinity",36.39,NA,24.4766,-81.7127,NA
"237",2598,"SFER","WS","2015-06-02","Salinity",36.397,NA,24.4766,-81.7127,NA
"238",2609,"SFER","22.5","2015-06-02","Salinity",36.373,NA,24.3964,-81.829,NA
"239",2620,"SFER","22","2015-06-02","Salinity",36.375,NA,24.4571,-81.8285,NA
"240",2631,"SFER","23","2015-06-02","Salinity",36.597,NA,24.4874,-81.8245,NA
"241",2642,"SFER","24","2015-06-02","Salinity",36.965,NA,24.537,-81.8289,NA
"242",2653,"SFER","30","2015-06-02","Salinity",36.249,NA,25.4057,-82.2113,NA
"243",2664,"SFER","30","2015-06-02","Salinity",36.142,NA,25.4057,-82.2113,NA
"244",2675,"SFER","30.5","2015-06-03","Salinity",35.888,NA,25.5721,-82.0731,NA
"245",2686,"SFER","31","2015-06-03","Salinity",35.961,NA,25.7419,-81.9417,NA
"246",2697,"SFER","31","2015-06-03","Salinity",35.961,NA,25.7419,-81.9417,NA
