"","X","source","datetime","site","analyte","value","units","latitude","longitude","sample_depth"
"818","...171607","BROWARD","'11/28/2012'","15","Ammonia+Ammonium",NA,"",NA,NA,0.5
"819","...171620","BROWARD","'11/28/2012'","11","Ammonia+Ammonium",0.036,"mg/l",NA,NA,0.5
"820","...171630","BROWARD","'11/28/2012'","41","Ammonia+Ammonium",NA,"",NA,NA,0.5
"821","...171641","BROWARD","'11/28/2012'","12","Ammonia+Ammonium",0.11,"mg/l",NA,NA,0.5
"822","...171652","BROWARD","'11/28/2012'","19","Ammonia+Ammonium",NA,"",NA,NA,0.5
"823","...171666","BROWARD","'11/28/2012'","14","Ammonia+Ammonium",0.406,"mg/l",NA,NA,0.5
"824","...171678","BROWARD","'11/27/2012'","22","Ammonia+Ammonium",0.425,"mg/l",NA,NA,0.5
"825","...171691","BROWARD","'11/27/2012'","28","Ammonia+Ammonium",0.343,"mg/l",NA,NA,0.5
"826","...171699","BROWARD","'11/27/2012'","31","Ammonia+Ammonium",0.19,"mg/l",NA,NA,0.5
"827","...171712","BROWARD","'11/27/2012'","25","Ammonia+Ammonium",0.03,"mg/l",NA,NA,0.5
"828","...171720","BROWARD","'11/27/2012'","32","Ammonia+Ammonium",0.196,"mg/l",NA,NA,0.5
"829","...171731","BROWARD","'11/27/2012'","24","Ammonia+Ammonium",NA,"",NA,NA,0.5
"830","...171741","BROWARD","'11/27/2012'","29","Ammonia+Ammonium",0.349,"mg/l",NA,NA,0.5
"831","...171749","BROWARD","'11/27/2012'","26","Ammonia+Ammonium",0.017,"mg/l",NA,NA,0.5
"832","...171761","BROWARD","'11/27/2012'","27","Ammonia+Ammonium",0.056,"mg/l",NA,NA,0.5
"833","...171774","BROWARD","'11/27/2012'","23","Ammonia+Ammonium",0.158,"mg/l",NA,NA,0.5
"834","...171784","BROWARD","'11/27/2012'","27","Ammonia+Ammonium",0.047,"mg/l",NA,NA,0.5
"835","...171800","BROWARD","'11/27/2012'","23","Ammonia+Ammonium",0.169,"mg/l",NA,NA,0.5
"836","...171805","BROWARD","'11/26/2012'","8","Ammonia+Ammonium",NA,"",NA,NA,0.5
"837","...171825","BROWARD","'11/26/2012'","89","Ammonia+Ammonium",NA,"",NA,NA,0.5
"838","...171827","BROWARD","'11/26/2012'","37","Ammonia+Ammonium",NA,"",NA,NA,0.5
"839","...171843","BROWARD","'11/26/2012'","4","Ammonia+Ammonium",0.721,"mg/l",NA,NA,0.5
"840","...171858","BROWARD","'11/26/2012'","4","Ammonia+Ammonium",0.734,"mg/l",NA,NA,0.5
"841","...171863","BROWARD","'11/26/2012'","36","Ammonia+Ammonium",NA,"",NA,NA,0.5
"842","...171877","BROWARD","'11/26/2012'","35","Ammonia+Ammonium",0.018,"mg/l",NA,NA,0.5
"843","...171887","BROWARD","'11/26/2012'","3","Ammonia+Ammonium",0.098,"mg/l",NA,NA,0.5
"844","...171902","BROWARD","'11/26/2012'","35","Ammonia+Ammonium",0.018,"mg/l",NA,NA,0.5
"845","...171905","BROWARD","'11/26/2012'","34","Ammonia+Ammonium",NA,"",NA,NA,0.5
"846","...171920","BROWARD","'11/26/2012'","2","Ammonia+Ammonium",0.034,"mg/l",NA,NA,0.5
"847","...171932","BROWARD","'11/26/2012'","33","Ammonia+Ammonium",0.023,"mg/l",NA,NA,0.5
"848","...171937","BROWARD","'11/26/2012'","1","Ammonia+Ammonium",0.037,"mg/l",NA,NA,0.5
"849","...171949","BROWARD","'11/26/2012'","110","Ammonia+Ammonium",0.067,"mg/l",NA,NA,0.5
"850","...171961","BROWARD","'08/02/2012'","34","Ammonia+Ammonium",NA,"",NA,NA,0.5
"851","...171970","BROWARD","'08/02/2012'","33","Ammonia+Ammonium",NA,"",NA,NA,0.5
"852","...171987","BROWARD","'08/02/2012'","1","Ammonia+Ammonium",NA,"",NA,NA,0.5
"853","...171996","BROWARD","'08/01/2012'","21","Ammonia+Ammonium",0.308,"mg/l",NA,NA,0.5
"854","...172007","BROWARD","'08/01/2012'","20","Ammonia+Ammonium",0.09,"mg/l",NA,NA,0.5
"855","...172018","BROWARD","'08/01/2012'","90","Ammonia+Ammonium",0.051,"mg/l",NA,NA,0.5
"856","...172027","BROWARD","'08/01/2012'","10","Ammonia+Ammonium",NA,"",NA,NA,0.5
"857","...172045","BROWARD","'08/01/2012'","90","Ammonia+Ammonium",0.045,"mg/l",NA,NA,0.5
"858","...172053","BROWARD","'08/01/2012'","49","Ammonia+Ammonium",NA,"",NA,NA,0.5
"859","...172057","BROWARD","'08/01/2012'","38","Ammonia+Ammonium",NA,"",NA,NA,0.5
"860","...172071","BROWARD","'08/01/2012'","19","Ammonia+Ammonium",0.02,"mg/l",NA,NA,0.5
"861","...172085","BROWARD","'08/01/2012'","25","Ammonia+Ammonium",0.082,"mg/l",NA,NA,0.5
"862","...172101","BROWARD","'08/01/2012'","39","Ammonia+Ammonium",NA,"",NA,NA,0.5
"863","...172105","BROWARD","'08/01/2012'","15","Ammonia+Ammonium",NA,"",NA,NA,0.5
"864","...172113","BROWARD","'08/01/2012'","24","Ammonia+Ammonium",0.016,"mg/l",NA,NA,0.5
"865","...172124","BROWARD","'08/01/2012'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"866","...172139","BROWARD","'08/01/2012'","26","Ammonia+Ammonium",0.05,"mg/l",NA,NA,0.5
"867","...172145","BROWARD","'08/01/2012'","16","Ammonia+Ammonium",0.035,"mg/l",NA,NA,0.5
"868","...172148","BROWARD","'08/01/2012'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"869","...172174","BROWARD","'08/01/2012'","27","Ammonia+Ammonium",0.086,"mg/l",NA,NA,0.5
"870","...172185","BROWARD","'08/01/2012'","27","Ammonia+Ammonium",0.114,"mg/l",NA,NA,0.5
"871","...172191","BROWARD","'08/01/2012'","41","Ammonia+Ammonium",NA,"",NA,NA,0.5
"872","...172199","BROWARD","'08/01/2012'","64","Ammonia+Ammonium",0.038,"mg/l",NA,NA,0.5
"873","...172214","BROWARD","'08/01/2012'","28","Ammonia+Ammonium",0.043,"mg/l",NA,NA,0.5
"874","...172220","BROWARD","'08/01/2012'","17","Ammonia+Ammonium",0.017,"mg/l",NA,NA,0.5
"875","...172231","BROWARD","'08/01/2012'","22","Ammonia+Ammonium",0.43,"mg/l",NA,NA,0.5
"876","...172243","BROWARD","'07/31/2012'","31","Ammonia+Ammonium",0.184,"mg/l",NA,NA,0.5
"877","...172262","BROWARD","'07/31/2012'","32","Ammonia+Ammonium",0.177,"mg/l",NA,NA,0.5
"878","...172263","BROWARD","'07/31/2012'","29","Ammonia+Ammonium",0.17,"mg/l",NA,NA,0.5
"879","...172283","BROWARD","'07/31/2012'","23","Ammonia+Ammonium",0.135,"mg/l",NA,NA,0.5
"880","...172294","BROWARD","'07/31/2012'","23","Ammonia+Ammonium",0.15,"mg/l",NA,NA,0.5
"881","...172296","BROWARD","'07/30/2012'","35","Ammonia+Ammonium",NA,"",NA,NA,0.5
"882","...172312","BROWARD","'07/30/2012'","111","Ammonia+Ammonium",NA,"",NA,NA,0.5
"883","...172327","BROWARD","'07/30/2012'","35","Ammonia+Ammonium",NA,"",NA,NA,0.5
"884","...172337","BROWARD","'07/30/2012'","112","Ammonia+Ammonium",0.024,"mg/l",NA,NA,0.5
"885","...172346","BROWARD","'07/30/2012'","8","Ammonia+Ammonium",0.02,"mg/l",NA,NA,0.5
"886","...172359","BROWARD","'07/30/2012'","5","Ammonia+Ammonium",NA,"",NA,NA,0.5
"887","...172372","BROWARD","'07/30/2012'","36","Ammonia+Ammonium",NA,"",NA,NA,0.5
"888","...172375","BROWARD","'07/30/2012'","89","Ammonia+Ammonium",NA,"",NA,NA,0.5
"889","...172392","BROWARD","'07/30/2012'","6","Ammonia+Ammonium",NA,"",NA,NA,0.5
"890","...172398","BROWARD","'07/30/2012'","37","Ammonia+Ammonium",NA,"",NA,NA,0.5
"891","...172413","BROWARD","'07/30/2012'","7","Ammonia+Ammonium",NA,"",NA,NA,0.5
"892","...172418","BROWARD","'07/30/2012'","4","Ammonia+Ammonium",0.152,"mg/l",NA,NA,0.5
"893","...172430","BROWARD","'07/30/2012'","4","Ammonia+Ammonium",0.143,"mg/l",NA,NA,0.5
"894","...172441","BROWARD","'07/30/2012'","3","Ammonia+Ammonium",0.022,"mg/l",NA,NA,0.5
"895","...172450","BROWARD","'07/30/2012'","11","Ammonia+Ammonium",NA,"",NA,NA,0.5
"896","...172464","BROWARD","'07/30/2012'","11","Ammonia+Ammonium",0.025,"mg/l",NA,NA,0.5
"897","...172474","BROWARD","'07/30/2012'","2","Ammonia+Ammonium",NA,"",NA,NA,0.5
"898","...172485","BROWARD","'07/30/2012'","12","Ammonia+Ammonium",0.073,"mg/l",NA,NA,0.5
"899","...172503","BROWARD","'07/30/2012'","110","Ammonia+Ammonium",NA,"",NA,NA,0.5
"900","...172512","BROWARD","'07/30/2012'","14","Ammonia+Ammonium",0.111,"mg/l",NA,NA,0.5
"901","...172522","BROWARD","'04/25/2012'","20","Ammonia+Ammonium",0.022,"mg/l",NA,NA,0.5
"902","...172527","BROWARD","'04/25/2012'","10","Ammonia+Ammonium",NA,"",NA,NA,0.5
"903","...172534","BROWARD","'04/25/2012'","90","Ammonia+Ammonium",0.025,"mg/l",NA,NA,0.5
"904","...172549","BROWARD","'04/25/2012'","90","Ammonia+Ammonium",0.028,"mg/l",NA,NA,0.5
"905","...172566","BROWARD","'04/25/2012'","49","Ammonia+Ammonium",NA,"",NA,NA,0.5
"906","...172580","BROWARD","'04/25/2012'","38","Ammonia+Ammonium",NA,"",NA,NA,0.5
"907","...172588","BROWARD","'04/25/2012'","19","Ammonia+Ammonium",0.037,"mg/l",NA,NA,0.5
"908","...172593","BROWARD","'04/25/2012'","25","Ammonia+Ammonium",0.265,"mg/l",NA,NA,0.5
"909","...172608","BROWARD","'04/25/2012'","39","Ammonia+Ammonium",NA,"",NA,NA,0.5
"910","...172618","BROWARD","'04/25/2012'","24","Ammonia+Ammonium",0.051,"mg/l",NA,NA,0.5
"911","...172630","BROWARD","'04/25/2012'","15","Ammonia+Ammonium",NA,"",NA,NA,0.5
"912","...172638","BROWARD","'04/25/2012'","16","Ammonia+Ammonium",NA,"",NA,NA,0.5
"913","...172650","BROWARD","'04/25/2012'","26","Ammonia+Ammonium",0.138,"mg/l",NA,NA,0.5
"914","...172660","BROWARD","'04/25/2012'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"915","...172677","BROWARD","'04/25/2012'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"916","...172688","BROWARD","'04/25/2012'","27","Ammonia+Ammonium",NA,"",NA,NA,0.5
"917","...172693","BROWARD","'04/25/2012'","27","Ammonia+Ammonium",NA,"",NA,NA,0.5
"918","...172703","BROWARD","'04/25/2012'","64","Ammonia+Ammonium",0.063,"mg/l",NA,NA,0.5
"919","...172713","BROWARD","'04/25/2012'","17","Ammonia+Ammonium",NA,"",NA,NA,0.5
"920","...172723","BROWARD","'04/25/2012'","41","Ammonia+Ammonium",NA,"",NA,NA,0.5
"921","...172741","BROWARD","'04/25/2012'","28","Ammonia+Ammonium",NA,"",NA,NA,0.5
"922","...172753","BROWARD","'04/25/2012'","21","Ammonia+Ammonium",0.177,"mg/l",NA,NA,0.5
"923","...172765","BROWARD","'04/25/2012'","22","Ammonia+Ammonium",0.177,"mg/l",NA,NA,0.5
"924","...172776","BROWARD","'04/24/2012'","31","Ammonia+Ammonium",0.115,"mg/l",NA,NA,0.5
"925","...172784","BROWARD","'04/24/2012'","32","Ammonia+Ammonium",0.129,"mg/l",NA,NA,0.5
"926","...172793","BROWARD","'04/24/2012'","32","Ammonia+Ammonium",0.133,"mg/l",NA,NA,0.5
"927","...172810","BROWARD","'04/24/2012'","29","Ammonia+Ammonium",0.205,"mg/l",NA,NA,0.5
"928","...172815","BROWARD","'04/24/2012'","23","Ammonia+Ammonium",0.406,"mg/l",NA,NA,0.5
"929","...172831","BROWARD","'04/23/2012'","37","Ammonia+Ammonium",0.053,"mg/l",NA,NA,0.5
"930","...172836","BROWARD","'04/23/2012'","111","Ammonia+Ammonium",0.095,"mg/l",NA,NA,0.5
"931","...172855","BROWARD","'04/23/2012'","89","Ammonia+Ammonium",0.066,"mg/l",NA,NA,0.5
"932","...172864","BROWARD","'04/23/2012'","112","Ammonia+Ammonium",0.063,"mg/l",NA,NA,0.5
"933","...172873","BROWARD","'04/23/2012'","36","Ammonia+Ammonium",0.04,"mg/l",NA,NA,0.5
"934","...172881","BROWARD","'04/23/2012'","8","Ammonia+Ammonium",NA,"",NA,NA,0.5
"935","...172889","BROWARD","'04/23/2012'","35","Ammonia+Ammonium",0.051,"mg/l",NA,NA,0.5
"936","...172907","BROWARD","'04/23/2012'","5","Ammonia+Ammonium",0.082,"mg/l",NA,NA,0.5
"937","...172918","BROWARD","'04/23/2012'","35","Ammonia+Ammonium",0.058,"mg/l",NA,NA,0.5
"938","...172926","BROWARD","'04/23/2012'","4","Ammonia+Ammonium",0.058,"mg/l",NA,NA,0.5
"939","...172938","BROWARD","'04/23/2012'","4","Ammonia+Ammonium",0.057,"mg/l",NA,NA,0.5
"940","...172946","BROWARD","'04/23/2012'","6","Ammonia+Ammonium",0.027,"mg/l",NA,NA,0.5
"941","...172956","BROWARD","'04/23/2012'","34","Ammonia+Ammonium",0.067,"mg/l",NA,NA,0.5
"942","...172969","BROWARD","'04/23/2012'","3","Ammonia+Ammonium",0.156,"mg/l",NA,NA,0.5
"943","...172981","BROWARD","'04/23/2012'","7","Ammonia+Ammonium",NA,"",NA,NA,0.5
"944","...172990","BROWARD","'04/23/2012'","11","Ammonia+Ammonium",0.077,"mg/l",NA,NA,0.5
"945","...173006","BROWARD","'04/23/2012'","33","Ammonia+Ammonium",0.15,"mg/l",NA,NA,0.5
"946","...173015","BROWARD","'04/23/2012'","11","Ammonia+Ammonium",0.077,"mg/l",NA,NA,0.5
"947","...173022","BROWARD","'04/23/2012'","2","Ammonia+Ammonium",0.157,"mg/l",NA,NA,0.5
"948","...173035","BROWARD","'04/23/2012'","1","Ammonia+Ammonium",0.172,"mg/l",NA,NA,0.5
"949","...173052","BROWARD","'04/23/2012'","12","Ammonia+Ammonium",0.044,"mg/l",NA,NA,0.5
"950","...173058","BROWARD","'04/23/2012'","110","Ammonia+Ammonium",NA,"",NA,NA,0.5
"951","...173072","BROWARD","'04/23/2012'","14","Ammonia+Ammonium",0.17,"mg/l",NA,NA,0.5
"952","...173082","BROWARD","'02/01/2012'","10","Ammonia+Ammonium",NA,"",NA,NA,0.5
"953","...173096","BROWARD","'02/01/2012'","49","Ammonia+Ammonium",NA,"",NA,NA,0.5
"954","...173106","BROWARD","'02/01/2012'","38","Ammonia+Ammonium",NA,"",NA,NA,0.5
"955","...173109","BROWARD","'02/01/2012'","20","Ammonia+Ammonium",0.04,"mg/l",NA,NA,0.5
"956","...173121","BROWARD","'02/01/2012'","28","Ammonia+Ammonium",0.232,"mg/l",NA,NA,0.5
"957","...173137","BROWARD","'02/01/2012'","90","Ammonia+Ammonium",0.018,"mg/l",NA,NA,0.5
"958","...173145","BROWARD","'02/01/2012'","90","Ammonia+Ammonium",0.019,"mg/l",NA,NA,0.5
"959","...173163","BROWARD","'02/01/2012'","39","Ammonia+Ammonium",NA,"",NA,NA,0.5
"960","...173173","BROWARD","'02/01/2012'","22","Ammonia+Ammonium",0.518,"mg/l",NA,NA,0.5
"961","...173182","BROWARD","'02/01/2012'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"962","...173195","BROWARD","'02/01/2012'","25","Ammonia+Ammonium",0.108,"mg/l",NA,NA,0.5
"963","...173200","BROWARD","'02/01/2012'","19","Ammonia+Ammonium",NA,"",NA,NA,0.5
"964","...173208","BROWARD","'02/01/2012'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"965","...173224","BROWARD","'02/01/2012'","15","Ammonia+Ammonium",NA,"",NA,NA,0.5
"966","...173235","BROWARD","'02/01/2012'","24","Ammonia+Ammonium",0.019,"mg/l",NA,NA,0.5
"967","...173241","BROWARD","'02/01/2012'","16","Ammonia+Ammonium",0.236,"mg/l",NA,NA,0.5
"968","...173262","BROWARD","'02/01/2012'","41","Ammonia+Ammonium",NA,"",NA,NA,0.5
"969","...173263","BROWARD","'02/01/2012'","26","Ammonia+Ammonium",0.036,"mg/l",NA,NA,0.5
"970","...173279","BROWARD","'02/01/2012'","64","Ammonia+Ammonium",0.218,"mg/l",NA,NA,0.5
"971","...173293","BROWARD","'02/01/2012'","17","Ammonia+Ammonium",NA,"",NA,NA,0.5
"972","...173304","BROWARD","'02/01/2012'","27","Ammonia+Ammonium",0.019,"mg/l",NA,NA,0.5
"973","...173310","BROWARD","'02/01/2012'","27","Ammonia+Ammonium",NA,"",NA,NA,0.5
"974","...173318","BROWARD","'02/01/2012'","21","Ammonia+Ammonium",0.303,"mg/l",NA,NA,0.5
"975","...173329","BROWARD","'01/31/2012'","31","Ammonia+Ammonium",0.111,"mg/l",NA,NA,0.5
"976","...173341","BROWARD","'01/31/2012'","32","Ammonia+Ammonium",0.032,"mg/l",NA,NA,0.5
"977","...173357","BROWARD","'01/31/2012'","29","Ammonia+Ammonium",0.375,"mg/l",NA,NA,0.5
"978","...173372","BROWARD","'01/31/2012'","23","Ammonia+Ammonium",0.371,"mg/l",NA,NA,0.5
"979","...173381","BROWARD","'01/31/2012'","23","Ammonia+Ammonium",0.4,"mg/l",NA,NA,0.5
"980","...173387","BROWARD","'01/30/2012'","37","Ammonia+Ammonium",NA,"",NA,NA,0.5
"981","...173398","BROWARD","'01/30/2012'","8","Ammonia+Ammonium",NA,"",NA,NA,0.5
"982","...173406","BROWARD","'01/30/2012'","111","Ammonia+Ammonium",NA,"",NA,NA,0.5
"983","...173426","BROWARD","'01/30/2012'","36","Ammonia+Ammonium",NA,"",NA,NA,0.5
"984","...173428","BROWARD","'01/30/2012'","112","Ammonia+Ammonium",NA,"",NA,NA,0.5
"985","...173443","BROWARD","'01/30/2012'","89","Ammonia+Ammonium",0.031,"mg/l",NA,NA,0.5
"986","...173451","BROWARD","'01/30/2012'","5","Ammonia+Ammonium",0.022,"mg/l",NA,NA,0.5
"987","...173467","BROWARD","'01/30/2012'","35","Ammonia+Ammonium",NA,"",NA,NA,0.5
"988","...173474","BROWARD","'01/30/2012'","35","Ammonia+Ammonium",NA,"",NA,NA,0.5
"989","...173485","BROWARD","'01/30/2012'","6","Ammonia+Ammonium",0.022,"mg/l",NA,NA,0.5
"990","...173491","BROWARD","'01/30/2012'","4","Ammonia+Ammonium",NA,"",NA,NA,0.5
"991","...173502","BROWARD","'01/30/2012'","4","Ammonia+Ammonium",0.019,"mg/l",NA,NA,0.5
"992","...173522","BROWARD","'01/30/2012'","7","Ammonia+Ammonium",NA,"",NA,NA,0.5
"993","...173528","BROWARD","'01/30/2012'","34","Ammonia+Ammonium",NA,"",NA,NA,0.5
"994","...173538","BROWARD","'01/30/2012'","3","Ammonia+Ammonium",0.092,"mg/l",NA,NA,0.5
"995","...173548","BROWARD","'01/30/2012'","11","Ammonia+Ammonium",NA,"",NA,NA,0.5
"996","...173556","BROWARD","'01/30/2012'","11","Ammonia+Ammonium",NA,"",NA,NA,0.5
"997","...173572","BROWARD","'01/30/2012'","33","Ammonia+Ammonium",0.016,"mg/l",NA,NA,0.5
"998","...173584","BROWARD","'01/30/2012'","2","Ammonia+Ammonium",0.023,"mg/l",NA,NA,0.5
"999","...173595","BROWARD","'01/30/2012'","12","Ammonia+Ammonium",0.034,"mg/l",NA,NA,0.5
"1000","...173603","BROWARD","'01/30/2012'","1","Ammonia+Ammonium",0.044,"mg/l",NA,NA,0.5
"1001","...173614","BROWARD","'01/30/2012'","110","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1002","...173631","BROWARD","'01/30/2012'","14","Ammonia+Ammonium",0.308,"mg/l",NA,NA,0.5
"1003","...173643","BROWARD","'10/26/2011'","10","Ammonia+Ammonium",0.043,"mg/l",NA,NA,0.5
"1004","...173651","BROWARD","'10/26/2011'","49","Ammonia+Ammonium",0.065,"mg/l",NA,NA,0.5
"1005","...173655","BROWARD","'10/26/2011'","20","Ammonia+Ammonium",0.415,"mg/l",NA,NA,0.5
"1006","...173658","BROWARD","'10/26/2011'","22","Ammonia+Ammonium",0.586,"mg/l",NA,NA,0.5
"1007","...173667","BROWARD","'10/26/2011'","21","Ammonia+Ammonium",0.639,"mg/l",NA,NA,0.5
"1008","...173697","BROWARD","'10/26/2011'","38","Ammonia+Ammonium",0.018,"mg/l",NA,NA,0.5
"1009","...173706","BROWARD","'10/26/2011'","90","Ammonia+Ammonium",0.166,"mg/l",NA,NA,0.5
"1010","...173713","BROWARD","'10/26/2011'","28","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1011","...173726","BROWARD","'10/26/2011'","90","Ammonia+Ammonium",0.173,"mg/l",NA,NA,0.5
"1012","...173738","BROWARD","'10/26/2011'","19","Ammonia+Ammonium",0.124,"mg/l",NA,NA,0.5
"1013","...173743","BROWARD","'10/26/2011'","39","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1014","...173758","BROWARD","'10/26/2011'","25","Ammonia+Ammonium",0.352,"mg/l",NA,NA,0.5
"1015","...173766","BROWARD","'10/26/2011'","15","Ammonia+Ammonium",0.044,"mg/l",NA,NA,0.5
"1016","...173779","BROWARD","'10/26/2011'","40","Ammonia+Ammonium",0.017,"mg/l",NA,NA,0.5
"1017","...173792","BROWARD","'10/26/2011'","24","Ammonia+Ammonium",0.082,"mg/l",NA,NA,0.5
"1018","...173800","BROWARD","'10/26/2011'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1019","...173819","BROWARD","'10/26/2011'","16","Ammonia+Ammonium",0.201,"mg/l",NA,NA,0.5
"1020","...173828","BROWARD","'10/26/2011'","26","Ammonia+Ammonium",0.244,"mg/l",NA,NA,0.5
"1021","...173835","BROWARD","'10/26/2011'","64","Ammonia+Ammonium",0.227,"mg/l",NA,NA,0.5
"1022","...173848","BROWARD","'10/26/2011'","41","Ammonia+Ammonium",0.026,"mg/l",NA,NA,0.5
"1023","...173860","BROWARD","'10/26/2011'","17","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1024","...173870","BROWARD","'10/26/2011'","27","Ammonia+Ammonium",0.484,"mg/l",NA,NA,0.5
"1025","...173884","BROWARD","'10/26/2011'","27","Ammonia+Ammonium",0.51,"mg/l",NA,NA,0.5
"1026","...173894","BROWARD","'10/25/2011'","31","Ammonia+Ammonium",0.263,"mg/l",NA,NA,0.5
"1027","...173899","BROWARD","'10/25/2011'","32","Ammonia+Ammonium",0.034,"mg/l",NA,NA,0.5
"1028","...173911","BROWARD","'10/25/2011'","29","Ammonia+Ammonium",0.283,"mg/l",NA,NA,0.5
"1029","...173929","BROWARD","'10/25/2011'","23","Ammonia+Ammonium",0.401,"mg/l",NA,NA,0.5
"1030","...173934","BROWARD","'10/25/2011'","23","Ammonia+Ammonium",0.405,"mg/l",NA,NA,0.5
"1031","...173942","BROWARD","'10/24/2011'","37","Ammonia+Ammonium",0.153,"mg/l",NA,NA,0.5
"1032","...173953","BROWARD","'10/24/2011'","8","Ammonia+Ammonium",0.105,"mg/l",NA,NA,0.5
"1033","...173973","BROWARD","'10/24/2011'","111","Ammonia+Ammonium",0.162,"mg/l",NA,NA,0.5
"1034","...173982","BROWARD","'10/24/2011'","36","Ammonia+Ammonium",0.176,"mg/l",NA,NA,0.5
"1035","...173989","BROWARD","'10/24/2011'","112","Ammonia+Ammonium",0.129,"mg/l",NA,NA,0.5
"1036","...174004","BROWARD","'10/24/2011'","89","Ammonia+Ammonium",0.043,"mg/l",NA,NA,0.5
"1037","...174008","BROWARD","'10/24/2011'","5","Ammonia+Ammonium",0.116,"mg/l",NA,NA,0.5
"1038","...174018","BROWARD","'10/24/2011'","35","Ammonia+Ammonium",0.077,"mg/l",NA,NA,0.5
"1039","...174039","BROWARD","'10/24/2011'","6","Ammonia+Ammonium",0.032,"mg/l",NA,NA,0.5
"1040","...174045","BROWARD","'10/24/2011'","35","Ammonia+Ammonium",0.042,"mg/l",NA,NA,0.5
"1041","...174056","BROWARD","'10/24/2011'","4","Ammonia+Ammonium",0.398,"mg/l",NA,NA,0.5
"1042","...174063","BROWARD","'10/24/2011'","4","Ammonia+Ammonium",0.403,"mg/l",NA,NA,0.5
"1043","...174080","BROWARD","'10/24/2011'","34","Ammonia+Ammonium",0.054,"mg/l",NA,NA,0.5
"1044","...174084","BROWARD","'10/24/2011'","7","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1045","...174101","BROWARD","'10/24/2011'","3","Ammonia+Ammonium",0.15,"mg/l",NA,NA,0.5
"1046","...174113","BROWARD","'10/24/2011'","33","Ammonia+Ammonium",0.102,"mg/l",NA,NA,0.5
"1047","...174121","BROWARD","'10/24/2011'","11","Ammonia+Ammonium",0.245,"mg/l",NA,NA,0.5
"1048","...174138","BROWARD","'10/24/2011'","11","Ammonia+Ammonium",0.244,"mg/l",NA,NA,0.5
"1049","...174139","BROWARD","'10/24/2011'","2","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1050","...174154","BROWARD","'10/24/2011'","12","Ammonia+Ammonium",0.342,"mg/l",NA,NA,0.5
"1051","...174162","BROWARD","'10/24/2011'","1","Ammonia+Ammonium",0.108,"mg/l",NA,NA,0.5
"1052","...174180","BROWARD","'10/24/2011'","110","Ammonia+Ammonium",0.056,"mg/l",NA,NA,0.5
"1053","...174192","BROWARD","'10/24/2011'","14","Ammonia+Ammonium",0.584,"mg/l",NA,NA,0.5
"1054","...174198","BROWARD","'08/03/2011'","10","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1055","...174207","BROWARD","'08/03/2011'","22","Ammonia+Ammonium",0.364,"mg/l",NA,NA,0.5
"1056","...174222","BROWARD","'08/03/2011'","49","Ammonia+Ammonium",0.065,"mg/l",NA,NA,0.5
"1057","...174230","BROWARD","'08/03/2011'","28","Ammonia+Ammonium",0.074,"mg/l",NA,NA,0.5
"1058","...174243","BROWARD","'08/03/2011'","20","Ammonia+Ammonium",0.167,"mg/l",NA,NA,0.5
"1059","...174251","BROWARD","'08/03/2011'","38","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1060","...174261","BROWARD","'08/03/2011'","90","Ammonia+Ammonium",0.127,"mg/l",NA,NA,0.5
"1061","...174271","BROWARD","'08/03/2011'","25","Ammonia+Ammonium",0.059,"mg/l",NA,NA,0.5
"1062","...174275","BROWARD","'08/03/2011'","90","Ammonia+Ammonium",0.09,"mg/l",NA,NA,0.5
"1063","...174295","BROWARD","'08/03/2011'","39","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1064","...174311","BROWARD","'08/03/2011'","17","Ammonia+Ammonium",0.021,"mg/l",NA,NA,0.5
"1065","...174321","BROWARD","'08/03/2011'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1066","...174326","BROWARD","'08/03/2011'","40","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1067","...174339","BROWARD","'08/03/2011'","64","Ammonia+Ammonium",0.127,"mg/l",NA,NA,0.5
"1068","...174349","BROWARD","'08/03/2011'","24","Ammonia+Ammonium",0.044,"mg/l",NA,NA,0.5
"1069","...174362","BROWARD","'08/03/2011'","16","Ammonia+Ammonium",0.082,"mg/l",NA,NA,0.5
"1070","...174370","BROWARD","'08/03/2011'","26","Ammonia+Ammonium",0.067,"mg/l",NA,NA,0.5
"1071","...174387","BROWARD","'08/03/2011'","41","Ammonia+Ammonium",NA,"",NA,NA,0.5
"1072","...174396","BROWARD","'08/03/2011'","15","Ammonia+Ammonium",0.1,"mg/l",NA,NA,0.5
